,Player,Team,Position,Height,Weight,Birthdate
968,"McCabe, Jake  McCabe, Jake",BUF,D,"6'1""",210,10/12/1993
969,"McCann, Jared  McCann, Jared",PIT,C,"6'1""",185,5/31/1996
970,"McCarron, Michael  McCarron, Michael",FA,-,-,-,3/07/1995
971,"McCollum, Thomas  McCollum, Thomas",NSH,G,"6'2""",220,12/07/1989
972,"McCormick, Max  McCormick, Max",OTT,C,"5'11""",185,5/01/1992
973,"McCoshen, Ian  McCoshen, Ian",FLA,D,"6'3""",217,8/05/1995
974,"McDavid, Connor  McDavid, Connor",EDM,C,"6'1""",193,1/13/1997
975,"McDonagh, Ryan  McDonagh, Ryan",TB,D,"6'1""",215,6/13/1989
976,"McDonald, Colin  McDonald, Colin",FA,-,-,-,9/30/1984
977,"McElhinney, Curtis  McElhinney, Curtis",CAR,G,"6'2""",203,5/23/1983
978,"McEneny, Evan  McEneny, Evan",VAN,D,"6'2""",203,5/22/1994
979,"McGing, Hugh  McGing, Hugh",STL,C,"5'8""",170,-
980,"McGinn, Brock  McGinn, Brock",CAR,LW,"6'0""",187,2/02/1994
981,"McGinn, Jamie  McGinn, Jamie",FLA,LW,"6'1""",205,8/05/1988
982,"McGinn, Tye  McGinn, Tye",FA,-,-,-,7/29/1990
983,"McGregor, Ryan  McGregor, Ryan",TOR,LW,"6'1""",178,1/29/1999
984,"McHale, Gavin  McHale, Gavin",WSH,G,"6'7""",240,-
985,"McIlrath, Dylan  McIlrath, Dylan",DET,D,"6'5""",236,4/20/1992
986,"McIntyre, Zane  McIntyre, Zane",BOS,G,"6'2""",206,8/20/1992
987,"McIsaac, Jared  McIsaac, Jared",DET,D,"6'1""",194,3/27/2000
988,"McKegg, Greg  McKegg, Greg",CAR,C,"6'0""",194,6/17/1992
989,"McKenna, Mike  McKenna, Mike",PHI,G,"6'2""",183,4/11/1983
990,"McKenzie, Curtis  McKenzie, Curtis",VGK,LW,"6'2""",205,2/22/1991
991,"McKenzie, Skyler  McKenzie, Skyler",FA,-,-,-,1/20/1998
992,"McKeown, Roland  McKeown, Roland",FA,-,-,-,1/20/1996
993,"McLeod, Cody  McLeod, Cody",NSH,LW,"6'2""",204,6/26/1984
994,"McLeod, Michael  McLeod, Michael",NJ,C,"6'1""",183,2/03/1998
995,"McLeod, Ryan  McLeod, Ryan",FA,-,-,-,9/21/1999
996,"McNabb, Brayden  McNabb, Brayden",VGK,D,"6'4""",212,1/21/1991
997,"McNeill, Mark  McNeill, Mark",FA,-,-,-,2/22/1993
998,"McNiven, Michael  McNiven, Michael",MTL,G,"6'1""",212,7/09/1997
999,"McQuaid, Adam  McQuaid, Adam",CBJ,D,"6'4""",210,10/12/1986
1000,"Megan, Wade  Megan, Wade",DET,LW,"6'1""",194,7/22/1990
1001,"Megna, Jaycob  Megna, Jaycob",FA,D,"6'6""",225,12/10/1992
1002,"Megna, Jayson  Megna, Jayson",WSH,C,"6'1""",194,2/01/1990
1003,"Meier, Timo  Meier, Timo",SJ,RW,"6'0""",210,10/08/1996
1004,"Melchiori, Julian  Melchiori, Julian",FA,-,-,-,12/06/1991
1005,"Meloche, Nicolas  Meloche, Nicolas",FA,-,-,-,7/18/1997
1006,"Merkley, Nicholas  Merkley, Nicholas",ARI,RW,"5'10""",194,5/23/1997
1007,"Merkley, Ryan  Merkley, Ryan",FA,-,-,-,8/14/2000
1008,"Mermis, Dakota  Mermis, Dakota",ARI,D,"6'0""",194,1/05/1994
1009,"Merrill, Jon  Merrill, Jon",VGK,D,"6'3""",205,2/03/1992
1010,"Mersch, Michael  Mersch, Michael",DAL,LW,"6'2""",218,10/02/1992
1011,"Merzlikins, Elvis  Merzlikins, Elvis",CBJ,G,"6'3""",192,4/13/1994
1012,"Meskanen, Ville  Meskanen, Ville",FA,-,-,-,10/02/1995
1013,"Mete, Victor  Mete, Victor",MTL,D,"5'9""",183,6/07/1998
1014,"Methot, Marc  Methot, Marc",DAL,D,"6'4""",230,6/21/1985
1015,"Middleton, Jacob  Middleton, Jacob",SJ,D,"6'3""",210,1/02/1996
1016,"Mikkola, Niko  Mikkola, Niko",STL,D,"6'4""",185,4/27/1996
1017,"Milano, Sonny  Milano, Sonny",CBJ,LW,"6'0""",195,5/12/1996
1018,"Miletic, Sam  Miletic, Sam",PIT,LW,"6'0""",197,5/04/1997
1019,"Miller, Colin  Miller, Colin",VGK,D,"6'1""",196,10/29/1992
1020,"Miller, J.T.  Miller, J.T.",VAN,C,"6'1""",218,3/14/1993
1021,"Miller, Kevan  Miller, Kevan",BOS,D,"6'2""",210,11/15/1987
1022,"Miller, Ryan  Miller, Ryan",ANA,G,"6'2""",168,7/17/1980
1023,"Milner, Parker  Milner, Parker",WSH,G,"6'1""",183,9/06/1990
1024,"Miska, Hunter  Miska, Hunter",ARI,G,"6'1""",174,7/07/1995
1025,"Mitchell, Torrey  Mitchell, Torrey",LA,C,"5'11""",186,1/30/1985
1026,"Mitchell, Zack  Mitchell, Zack",LA,RW,"6'1""",196,1/07/1993
1027,"Mittelstadt, Casey  Mittelstadt, Casey",BUF,C,"6'0""",209,11/22/1998
1028,"Moldenhauer, Scott  Moldenhauer, Scott",ANA,D,"6'4""",225,5/09/1994
1029,"Molino, Griffen  Molino, Griffen",TOR,C,"5'11""",171,1/21/1994
1030,"Monahan, Sean  Monahan, Sean",CGY,C,"6'2""",200,10/12/1994
1031,"Montembeault, Samuel  Montembeault, Samuel",FLA,G,"6'3""",195,10/30/1996
1032,"Montour, Brandon  Montour, Brandon",ANA,D,"6'0""",192,4/11/1994
1033,"Montour, Brandon  Montour, Brandon",BUF,D,"6'0""",193,4/11/1994
1034,"Montoya, Al  Montoya, Al",EDM,G,"6'2""",201,2/13/1985
1035,"Moore, Dominic  Moore, Dominic",TOR,C,"6'0""",192,8/03/1980
1036,"Moore, John  Moore, John",BOS,D,"6'2""",210,11/19/1990
1037,"Moore, Ryan  Moore, Ryan",TOR,RW,"5'8""",168,4/09/1997
1038,"Moore, Trevor  Moore, Trevor",TOR,C,"5'10""",175,3/31/1995
1039,"Morand, Antoine  Morand, Antoine",ANA,C,"5'10""",179,2/18/1999
1040,"Moravcik, Michal  Moravcik, Michal",MTL,D,"6'4""",212,12/07/1994
1041,"Morin, Samuel  Morin, Samuel",PHI,D,"6'6""",202,7/12/1995
1042,"Morrison, Adam  Morrison, Adam",WSH,G,"6'3""",170,2/09/1991
1043,"Morrison, Brad  Morrison, Brad",FA,-,-,-,1/04/1997
1044,"Morrissey, Josh  Morrissey, Josh",WPG,D,"6'0""",195,3/28/1995
1045,"Morrow, Joe  Morrow, Joe",WPG,D,"6'0""",196,12/09/1992
1046,"Motte, Tyler  Motte, Tyler",VAN,C,"5'10""",192,3/10/1995
1047,"Moy, Tyler  Moy, Tyler",NSH,RW,"6'1""",194,7/18/1995
1048,"Mrazek, Petr  Mrazek, Petr",CAR,G,"6'1""",190,2/14/1992
1049,"Mueller, Chris  Mueller, Chris",FA,-,-,-,3/06/1986
1050,"Mueller, Mirco  Mueller, Mirco",NJ,D,"6'3""",210,3/21/1995
1051,"Murphy, Connor  Murphy, Connor",CHI,D,"6'4""",212,3/26/1993
1052,"Murphy, Ryan  Murphy, Ryan",NJ,D,"5'11""",185,3/31/1993
1053,"Murphy, Trevor  Murphy, Trevor",ARI,D,"5'10""",181,7/17/1995
1054,"Murray, Matt  Murray, Matt",PIT,G,"6'4""",178,5/25/1994
1055,"Murray, Ryan  Murray, Ryan",CBJ,D,"6'1""",205,9/27/1993
1056,"Musil, Adam  Musil, Adam",STL,C,"6'3""",202,3/26/1997
1057,"Muzzin, Jake  Muzzin, Jake",TOR,D,"6'3""",213,2/21/1989
1058,"Myers, Philippe  Myers, Philippe",PHI,D,"6'5""",212,1/25/1997
1059,"Myers, Tyler  Myers, Tyler",WPG,D,"6'8""",229,2/01/1990
1060,"Namestnikov, Vladislav  Namestnikov, Vladislav",NYR,C,"6'0""",184,11/22/1992
1061,"Nantel, Julien  Nantel, Julien",FA,-,-,-,9/06/1996
1062,"Nash, Rick  Nash, Rick",BOS,RW,"6'4""",211,6/16/1984
1063,"Nash, Riley  Nash, Riley",CBJ,C,"6'1""",190,5/09/1989
1064,"Nattinen, Julius  Nattinen, Julius",ANA,C,"6'2""",192,1/14/1997
1065,"Neal, James  Neal, James",CGY,LW,"6'3""",212,9/03/1987
1066,"Necas, Martin  Necas, Martin",CAR,C,"6'2""",179,1/15/1999
1067,"Nedeljkovic, Alex  Nedeljkovic, Alex",CAR,G,"6'0""",198,1/07/1996
1068,"Nelson, Brock  Nelson, Brock",NYI,C,"6'3""",212,10/15/1991
1069,"Nelson, Casey  Nelson, Casey",BUF,D,"6'1""",183,7/18/1992
1070,"Nemeth, Patrik  Nemeth, Patrik",COL,D,"6'3""",219,2/08/1992
1071,"Ness, Aaron  Ness, Aaron",WSH,D,"5'10""",187,5/18/1990
1072,"Neuvirth, Michal  Neuvirth, Michal",PHI,G,"6'1""",209,3/23/1988
1073,"Nichushkin, Valeri  Nichushkin, Valeri",DAL,RW,"6'4""",210,3/04/1995
1074,"Niederreiter, Nino  Niederreiter, Nino",CAR,RW,"6'2""",218,9/08/1992
1075,"Nielsen, Andrew  Nielsen, Andrew",FA,-,-,-,11/13/1996
1076,"Nielsen, Frans  Nielsen, Frans",DET,C,"6'1""",188,4/24/1984
1077,"Niemi, Antti  Niemi, Antti",MTL,G,"6'2""",209,8/29/1983
1078,"Nieto, Matt  Nieto, Matt",COL,LW,"5'11""",190,11/05/1992
1079,"Nieves, Boo  Nieves, Boo",NYR,C,"6'3""",210,1/23/1994
1080,"Niku, Sami  Niku, Sami",WPG,D,"6'1""",176,10/10/1996
1081,"Nilsson, Anders  Nilsson, Anders",OTT,G,"6'6""",232,3/19/1990
1082,"Nilsson, Jacob  Nilsson, Jacob",CHI,LW,"5'10""",180,10/12/1993
1083,"Niskanen, Matt  Niskanen, Matt",PHI,D,"6'1""",203,12/06/1986
1084,"Noebels, Marcel  Noebels, Marcel",FA,-,-,-,3/14/1992
1085,"Noel, Nathan  Noel, Nathan",FA,-,-,-,6/21/1997
1086,"Noel, Serron  Noel, Serron",FA,-,-,-,8/08/2000
1087,"Noesen, Stefan  Noesen, Stefan",NJ,RW,"6'1""",205,2/12/1993
1088,"Nogier, Nelson  Nogier, Nelson",WPG,D,"6'2""",191,5/27/1996
1089,"Nolan, Jordan  Nolan, Jordan",STL,C,"6'3""",219,6/23/1989
1090,"Nordstrom, Joakim  Nordstrom, Joakim",BOS,C,"6'1""",194,2/25/1992
1091,"Norell, Robin  Norell, Robin",EDM,D,"5'11""",192,2/18/1995
1092,"Nosek, Tomas  Nosek, Tomas",VGK,LW,"6'3""",210,9/01/1992
1093,"Nugent-Hopkins, Ryan  Nugent-Hopkins, Ryan",EDM,C,"6'0""",184,4/12/1993
1094,"Nurse, Darnell  Nurse, Darnell",EDM,D,"6'4""",221,2/04/1995
1095,"Nutivaara, Markus  Nutivaara, Markus",CBJ,D,"6'1""",191,6/06/1994
1096,"Nyberg, John  Nyberg, John",DAL,D,"6'3""",190,7/14/1996
1097,"Nylander, Alexander  Nylander, Alexander",BUF,LW,"6'1""",196,3/02/1998
1098,"Nylander, William  Nylander, William",TOR,RW,"6'0""",191,5/01/1996
1099,"Nyquist, Gustav  Nyquist, Gustav",SJ,RW,"5'11""",184,9/01/1989
1100,"O'Brien, Jim  O'Brien, Jim",OTT,C,"6'2""",202,1/29/1989
1101,"O'Brien, Liam  O'Brien, Liam",FA,-,-,-,7/29/1994
1102,"O'Brien, Zach  O'Brien, Zach",TOR,RW,"5'11""",180,6/29/1992
1103,"O'Connor, Logan  O'Connor, Logan",COL,RW,"6'0""",175,8/14/1996
1104,"O'Gara, Rob  O'Gara, Rob",NYR,D,"6'4""",207,7/06/1993
1105,"O'Neill, Will  O'Neill, Will",PIT,D,"6'1""",190,4/28/1988
1106,"O'Regan, Danny  O'Regan, Danny",BUF,C,"5'10""",185,1/30/1994
1107,"O'Reilly, Cal  O'Reilly, Cal",MIN,C,"5'11""",192,9/30/1986
1108,"O'Reilly, Ryan  O'Reilly, Ryan",STL,C,"6'1""",216,2/07/1991
1109,"Oduya, Johnny  Oduya, Johnny",PHI,D,"6'0""",191,10/01/1981
1110,"Oesterle, Jordan  Oesterle, Jordan",ARI,D,"6'0""",182,6/11/1992
1111,"Oglevie, Andrew  Oglevie, Andrew",FA,-,-,-,2/16/1995
1112,"Okposo, Kyle  Okposo, Kyle",BUF,RW,"6'0""",220,4/16/1988
1113,"Oleksiak, Jamie  Oleksiak, Jamie",DAL,D,"6'7""",255,12/21/1992
1114,"Oleksy, Steve  Oleksy, Steve",ANA,D,"6'0""",190,2/04/1986
1115,"Olivier, Mathieu  Olivier, Mathieu",NSH,RW,"6'2""",209,2/11/1997
1116,"Ollas Mattsson, Adam  Ollas Mattsson, Adam",FA,-,-,-,7/30/1996
1117,"Olofsson, Gustav  Olofsson, Gustav",MIN,D,"6'3""",195,12/01/1994
1118,"Olofsson, Victor  Olofsson, Victor",BUF,RW,"5'11""",176,7/18/1995
1119,"Olson, Kyle  Olson, Kyle",ANA,RW,"5'11""",168,3/22/1999
1120,"Olund, Linus  Olund, Linus",PIT,C,"5'11""",185,6/05/1997
1121,"Opilka, Luke  Opilka, Luke",STL,G,"6'1""",192,2/27/1997
1122,"Orlov, Dmitry  Orlov, Dmitry",WSH,D,"5'11""",212,7/23/1991
1123,"Orpik, Brooks  Orpik, Brooks",WSH,D,"6'3""",217,9/26/1980
1124,"Oshie, T.J.  Oshie, T.J.",WSH,RW,"5'11""",195,12/23/1986
1125,"Ouellet, Xavier  Ouellet, Xavier",MTL,D,"6'1""",185,7/29/1993
1126,"Ouellette, Martin  Ouellette, Martin",TB,G,"6'2""",194,12/30/1991
1127,"Ovechkin, Alex  Ovechkin, Alex",WSH,LW,"6'3""",235,9/17/1985
1128,"Overhardt, Alex  Overhardt, Alex",NSH,C,"6'0""",190,1/15/1997
1129,"Ozhiganov, Igor  Ozhiganov, Igor",TOR,D,"6'2""",210,10/13/1992
1130,"Paajarvi, Magnus  Paajarvi, Magnus",OTT,LW,"6'3""",206,4/12/1991
1131,"Pacioretty, Max  Pacioretty, Max",VGK,LW,"6'2""",206,11/20/1988
1132,"Pageau, Jean-Gabriel  Pageau, Jean-Gabriel",OTT,C,"5'10""",184,11/11/1992
1133,"Palat, Ondrej  Palat, Ondrej",TB,LW,"6'0""",188,3/28/1991
1134,"Palmieri, Kyle  Palmieri, Kyle",NJ,RW,"5'11""",185,2/01/1991
1135,"Palmquist, Zach  Palmquist, Zach",FA,-,-,-,12/09/1990
1136,"Palmu, Petrus  Palmu, Petrus",VAN,LW,"5'7""",179,7/16/1997
1137,"Panarin, Artemi  Panarin, Artemi",CBJ,LW,"5'11""",168,10/30/1991
1138,"Panik, Richard  Panik, Richard",ARI,RW,"6'1""",208,2/07/1991
1139,"Paquette, Cedric  Paquette, Cedric",TB,C,"6'1""",198,8/13/1993
1140,"Parayko, Colton  Parayko, Colton",STL,D,"6'6""",230,5/12/1993
1141,"Pare, Cedric  Pare, Cedric",FA,-,-,-,1/24/1999
1142,"Parise, Zach  Parise, Zach",MIN,LW,"5'11""",193,7/28/1984
1143,"Parsons, Tyler  Parsons, Tyler",CGY,G,"6'1""",185,9/18/1997
1144,"Pasquale, Edward  Pasquale, Edward",TB,G,"6'3""",215,11/20/1990
1145,"Pastrnak, David  Pastrnak, David",BOS,RW,"6'0""",194,5/25/1996
1146,"Pateryn, Greg  Pateryn, Greg",MIN,D,"6'3""",223,6/20/1990
1147,"Patrick, Nolan  Patrick, Nolan",PHI,C,"6'2""",198,9/19/1998
1148,"Paul, Nicholas  Paul, Nicholas",OTT,LW,"6'4""",230,3/20/1995
1149,"Pavelec, Ondrej  Pavelec, Ondrej",NYR,G,"6'3""",212,8/31/1987
1150,"Pavelski, Joe  Pavelski, Joe",SJ,C,"5'11""",190,7/11/1984
1151,"Payne, Robbie  Payne, Robbie",DAL,RW,"5'11""",195,5/13/1993
1152,"Pearson, Tanner  Pearson, Tanner",VAN,LW,"6'1""",201,8/10/1992
1153,"Peca, Matthew  Peca, Matthew",MTL,C,"5'9""",182,4/27/1993
1154,"Pederson, Lane  Pederson, Lane",FA,-,-,-,8/04/1997
1155,"Peeke, Andrew  Peeke, Andrew",CBJ,D,"6'3""",205,3/17/1998
1156,"Pekar, Matej  Pekar, Matej",BUF,RW,"6'0""",170,2/10/2000
1157,"Pelech, Adam  Pelech, Adam",NYI,D,"6'3""",218,8/16/1994
1158,"Peluso, Anthony  Peluso, Anthony",FA,RW,"6'3""",235,4/18/1989
1159,"Perlini, Brendan  Perlini, Brendan",CHI,LW,"6'3""",211,4/27/1996
1160,"Perreault, Mathieu  Perreault, Mathieu",WPG,LW,"5'10""",188,1/05/1988
1161,"Perron, David  Perron, David",STL,LW,"6'0""",200,5/28/1988
1162,"Perron, Francis  Perron, Francis",VAN,RW,"6'0""",166,4/18/1996
1163,"Perry, Corey  Perry, Corey",ANA,RW,"6'3""",206,5/16/1985
1164,"Persson, Carl  Persson, Carl",NSH,C,"6'1""",205,6/28/1995
1165,"Pesce, Brett  Pesce, Brett",CAR,D,"6'3""",206,11/15/1994
1166,"Petan, Nic  Petan, Nic",TOR,LW,"5'9""",179,3/22/1995
1167,"Petersen, Cal  Petersen, Cal",LA,G,"6'1""",182,10/19/1994
1168,"Petrovic, Alex  Petrovic, Alex",EDM,D,"6'4""",216,3/03/1992
1169,"Petry, Jeff  Petry, Jeff",MTL,D,"6'3""",197,12/09/1987
1170,"Pettersson, Elias  Pettersson, Elias",VAN,C,"6'2""",176,11/12/1998
1171,"Pettersson, Emil  Pettersson, Emil",NSH,C,"6'2""",185,1/14/1994
1172,"Pettersson, Marcus  Pettersson, Marcus",PIT,D,"6'3""",177,5/08/1996
1173,"Phaneuf, Dion  Phaneuf, Dion",LA,D,"6'4""",222,4/10/1985
1174,"Phelan, James  Phelan, James",DAL,LW,"5'11""",185,2/18/1997
1175,"Phillips, Matthew  Phillips, Matthew",CGY,C,"5'7""",161,4/06/1998
1176,"Phinney, Colton  Phinney, Colton",NJ,G,"6'1""",175,6/17/1993
1177,"Piccinich, J.J.  Piccinich, J.J.",TOR,RW,"6'0""",190,6/12/1996
1178,"Pickard, Calvin  Pickard, Calvin",ARI,G,"6'1""",207,4/15/1992
1179,"Pietila, Blake  Pietila, Blake",NJ,LW,"5'11""",200,2/20/1993
1180,"Pietrangelo, Alex  Pietrangelo, Alex",STL,D,"6'3""",210,1/18/1990
1181,"Pilon, Garrett  Pilon, Garrett",FA,-,-,-,4/13/1998
1182,"Pilut, Lawrence  Pilut, Lawrence",BUF,D,"5'11""",191,12/30/1995
1183,"Pinho, Brian  Pinho, Brian",FA,-,-,-,5/11/1995
1184,"Pionk, Neal  Pionk, Neal",WPG,D,"6'0""",186,7/29/1995
1185,"Pirri, Brandon  Pirri, Brandon",VGK,C,"6'0""",186,4/10/1991
1186,"Pitlick, Rem  Pitlick, Rem",NSH,C,"5'9""",194,4/02/1997
1187,"Pitlick, Tyler  Pitlick, Tyler",PHI,C,"6'2""",200,11/01/1991
1188,"Plekanec, Tomas  Plekanec, Tomas",MTL,C,"5'11""",193,10/31/1982
1189,"Plouffe, Derian  Plouffe, Derian",TOR,LW,"5'10""",187,1/15/1995
1190,"Poehling, Ryan  Poehling, Ryan",MTL,LW,"6'2""",185,1/03/1999
1191,"Poganski, Austin  Poganski, Austin",STL,LW,"6'1""",198,2/16/1996
1192,"Point, Brayden  Point, Brayden",TB,C,"5'10""",166,3/13/1996
1193,"Point, Colton  Point, Colton",FA,-,-,-,3/04/1998
1194,"Polak, Roman  Polak, Roman",DAL,D,"6'2""",240,4/28/1986
1195,"Polei, Evan  Polei, Evan",FA,-,-,-,2/19/1996
1196,"Pollock, Brett  Pollock, Brett",FA,-,-,-,3/17/1996
1197,"Pominville, Jason  Pominville, Jason",BUF,RW,"6'0""",180,11/30/1982
1198,"Pond, Tanner  Pond, Tanner",FA,-,-,-,5/31/1993
1199,"Pooley, Scott  Pooley, Scott",TOR,LW,"6'2""",197,3/28/1994
1200,"Poolman, Tucker  Poolman, Tucker",WPG,D,"6'3""",210,6/08/1993
1201,"Pope, David  Pope, David",FA,-,-,-,9/27/1994
1202,"Porter, Kevin  Porter, Kevin",BUF,LW,"6'0""",190,3/12/1986
1203,"Pospisil, Kristian  Pospisil, Kristian",TOR,C,"6'2""",195,4/22/1996
1204,"Postma, Paul  Postma, Paul",BOS,D,"6'3""",195,2/22/1989
1205,"Pouliot, Benoit  Pouliot, Benoit",FA,LW,"6'3""",200,9/29/1986
1206,"Pouliot, Derrick  Pouliot, Derrick",VAN,D,"6'0""",196,1/16/1994
1207,"Prapavessis, Mike  Prapavessis, Mike",FA,-,-,-,1/07/1996
1208,"Praplan, Vincent  Praplan, Vincent",FA,-,-,-,6/10/1994
1209,"Price, Carey  Price, Carey",MTL,G,"6'3""",215,8/16/1987
1210,"Prince, Shane  Prince, Shane",NYI,LW,"5'11""",193,11/16/1992
1211,"Prosser, Nate  Prosser, Nate",MIN,D,"6'2""",201,5/07/1986
1212,"Prout, Dalton  Prout, Dalton",CGY,D,"6'3""",215,3/13/1990
1213,"Provorov, Ivan  Provorov, Ivan",PHI,D,"6'1""",201,1/13/1997
1214,"Prow, Ethan  Prow, Ethan",PIT,D,"5'11""",180,11/17/1992
1215,"Pu, Cliff  Pu, Cliff",CAR,RW,"6'2""",191,6/03/1998
1216,"Pucek, Roman  Pucek, Roman",TOR,LW,"6'2""",168,4/13/2000
1217,"Puempel, Matthew  Puempel, Matthew",DET,LW,"6'2""",204,1/24/1993
1218,"Puljujarvi, Jesse  Puljujarvi, Jesse",EDM,RW,"6'4""",201,5/07/1998
1219,"Pulock, Ryan  Pulock, Ryan",NYI,D,"6'2""",217,10/06/1994
1220,"Pyatt, Tom  Pyatt, Tom",SJ,C,"5'11""",185,2/14/1987
1221,"Pyrochta, Filip  Pyrochta, Filip",NSH,D,"6'2""",192,6/24/1996
1222,"Pysyk, Mark  Pysyk, Mark",FLA,D,"6'1""",200,1/11/1992
1223,"Quenneville, David  Quenneville, David",FA,-,-,-,3/13/1998
1224,"Quenneville, John  Quenneville, John",CHI,C,"6'1""",195,4/16/1996
1225,"Quick, Jonathan  Quick, Jonathan",LA,G,"6'1""",216,1/21/1986
1226,"Quine, Alan  Quine, Alan",CGY,C,"6'0""",203,2/25/1993
1227,"Quinney, Gage  Quinney, Gage",FA,-,-,-,7/29/1995
1228,"Raanta, Antti  Raanta, Antti",ARI,G,"6'0""",195,5/12/1989
1229,"Raaymakers, Joseph  Raaymakers, Joseph",CBJ,G,"6'1""",186,3/17/1998
1230,"Raddysh, Darren  Raddysh, Darren",FA,-,-,-,2/28/1996
1231,"Raddysh, Taylor  Raddysh, Taylor",TB,RW,"6'2""",198,2/18/1998
1232,"Radil, Lukas  Radil, Lukas",SJ,LW,"6'4""",200,8/05/1990
1233,"Radulov, Alexander  Radulov, Alexander",DAL,LW,"6'1""",205,7/05/1986
1234,"Rafferty, Brogan  Rafferty, Brogan",VAN,D,"6'1""",191,5/28/1995
1235,"Raffl, Michael  Raffl, Michael",PHI,LW,"6'0""",200,12/01/1988
1236,"Rakell, Rickard  Rakell, Rickard",ANA,C,"6'1""",202,5/05/1993
1237,"Randell, Tyler  Randell, Tyler",BUF,RW,"6'1""",198,6/15/1991
1238,"Rantanen, Mikko  Rantanen, Mikko",COL,RW,"6'4""",215,10/29/1996
1239,"Rask, Tuukka  Rask, Tuukka",BOS,G,"6'3""",176,3/10/1987
1240,"Rask, Victor  Rask, Victor",MIN,C,"6'2""",200,3/01/1993
1241,"Rasmussen, Michael  Rasmussen, Michael",DET,C,"6'6""",221,4/17/1999
1242,"Ratcliffe, Isaac  Ratcliffe, Isaac",FA,-,-,-,2/15/1999
1243,"Rathgeb, Yannick  Rathgeb, Yannick",FA,-,-,-,10/24/1995
1244,"Rattie, Ty  Rattie, Ty",EDM,RW,"6'0""",183,2/05/1993
1245,"Rau, Kyle  Rau, Kyle",MIN,C,"5'8""",178,10/24/1992
1246,"Read, Matt  Read, Matt",MIN,RW,"5'10""",185,6/14/1986
1247,"Reaves, Ryan  Reaves, Ryan",VGK,RW,"6'1""",225,1/20/1987
1248,"Reddekopp, Chaz  Reddekopp, Chaz",FA,-,-,-,1/01/1997
1249,"Redmond, Angus  Redmond, Angus",ANA,G,"6'1""",200,10/03/1995
1250,"Redmond, Zach  Redmond, Zach",BUF,D,"6'2""",212,7/26/1988
1251,"Regula, Alec  Regula, Alec",DET,D,"6'2""",201,8/06/2000
1252,"Reichel, Kristian  Reichel, Kristian",FA,-,-,-,6/11/1998
1253,"Reilly, Mike  Reilly, Mike",MTL,D,"6'2""",193,7/13/1993
1254,"Reilly, Mike  Reilly, Mike",MTL,D,"6'1""",195,7/13/1993
1255,"Reimer, James  Reimer, James",FLA,G,"6'2""",220,3/15/1988
1256,"Reinhart, Griffin  Reinhart, Griffin",VGK,D,"6'4""",212,1/24/1994
1257,"Reinhart, Sam  Reinhart, Sam",BUF,RW,"6'1""",192,11/06/1995
1258,"Reinke, Mitch  Reinke, Mitch",STL,D,"5'11""",181,2/04/1996
1259,"Rempal, Sheldon  Rempal, Sheldon",LA,RW,"5'10""",165,8/07/1995
1260,"Renouf, Dan  Renouf, Dan",CAR,D,"6'2""",205,6/12/1994
1261,"Repo, Sebastian  Repo, Sebastian",FA,-,-,-,6/23/1996
1262,"Richard, Anthony  Richard, Anthony",NSH,C,"5'10""",176,12/20/1996
1263,"Richardson, Brad  Richardson, Brad",ARI,C,"6'0""",190,2/04/1985
1264,"Rieder, Tobias  Rieder, Tobias",EDM,RW,"5'11""",186,1/10/1993
1265,"Rielly, Morgan  Rielly, Morgan",TOR,D,"6'1""",221,3/09/1994
1266,"Riikola, Juuso  Riikola, Juuso",PIT,D,"6'0""",189,11/09/1993
1267,"Rinaldo, Zac  Rinaldo, Zac",NSH,LW,"5'10""",192,6/15/1990
1268,"Rinne, Pekka  Rinne, Pekka",NSH,G,"6'5""",217,11/03/1982
1269,"Ristolainen, Rasmus  Ristolainen, Rasmus",BUF,D,"6'4""",218,10/27/1994
1270,"Ritchie, Brett  Ritchie, Brett",DAL,RW,"6'4""",220,7/01/1993
1271,"Ritchie, Nick  Ritchie, Nick",ANA,LW,"6'2""",234,12/05/1995
1272,"Rittich, David  Rittich, David",CGY,G,"6'3""",206,8/19/1992
1273,"Robertson, Jason  Robertson, Jason",FA,-,-,-,7/22/1999
1274,"Robinson, Buddy  Robinson, Buddy",CGY,RW,"6'5""",235,9/30/1991
1275,"Robinson, Eric  Robinson, Eric",CBJ,LW,"6'2""",201,6/14/1995
1276,"Robson, Mat  Robson, Mat",MIN,G,"6'2""",176,3/26/1996
1277,"Robson, Matt  Robson, Matt",MIN,G,"6'2""",169,3/26/1996
1278,"Rodewald, Jack  Rodewald, Jack",OTT,RW,"6'2""",189,2/14/1994
1279,"Rodin, Anton  Rodin, Anton",ANA,RW,"5'11""",185,11/21/1990
1280,"Rodrigues, Evan  Rodrigues, Evan",BUF,LW,"5'11""",182,7/28/1993
1281,"Rooney, Kevin  Rooney, Kevin",NJ,C,"6'2""",190,5/21/1993
1282,"Rosen, Calle  Rosen, Calle",TOR,D,"6'1""",195,2/02/1994
1283,"Roslovic, Jack  Roslovic, Jack",WPG,C,"6'1""",182,1/29/1997
1284,"Roslovic, Jack  Roslovic, Jack",WPG,C,"6'1""",187,1/29/1997
1285,"Roussel, Antoine  Roussel, Antoine",VAN,LW,"5'11""",199,11/21/1989
1286,"Rowney, Carter  Rowney, Carter",ANA,RW,"6'2""",206,5/10/1989
